  objname                       	   mod0 	     vgsr 	dist
  SDSSJ215548.23+011052.7       	39.65	66191	851138038
  SDSSJ222315.50+001513.3       	39.77	77563	899497582
  SDSSJ222805.78-010731.1       	39.41	72090	762079010
  SDSSJ002700.27-003511.8       	38.34	41116	465586094
  SDSSJ014742.71+001226.2       	40.77	89984	1425607594
  SDSSJ030111.99-003313.5       	38.88	17982	597035287
  [PDG95]J024002.10-013715.8    	40.28	111529	1137627286
  APMUKS(BJ)B141934.25+021314.0 	35.27	       -  	113240036
  APMUKS(BJ)B051529.79-235009.8 	35.65	       -  	134896288
  APMUKS(BJ)B124225.40-061107.2 	38.1	44866	416869383
  APMUKS(BJ)B033926.36-005631.5 	37.99	37921	396278034
  APMUKS(BJ)B001911.19-003608.1 	38.76	52287	564936975
  APMUKS(BJ)B231730.59-001946.5 	37.94	33172	387257645
  APMUKS(BJ)B002819.57-005941.4 	37.97	35336	392644935
  [PPG94]023732.30-014657.6     	40.19	112128	1091440336
  [PPG94]101617.23+510723.4     	40.48	127454	1247383514
  [PPG94]114725.33+105938.6     	40.57	106048	1300169578
  [WM92]212426.8-614612         	37.62	22407	334195040
  CL0303+1706:[DG92]074         	41.23	125957	1761976046
  DEEP2_41100811                	42.98	245191	3944573021
  CENA-MM-DW1                   	27.8	       -  	3630781
  CENA-MM-DW2                   	27.78	       -  	3597493
  PISCES1                       	19.51	       -  	79799
  HYDRA2                        	20.64	130	134276
  PEGASUS3                      	21.63	-63	211836
  RETICULUM2                    	17.45	-91	30903
  ERIDANUS2                     	22.82	-67	366438
  HOROLOGIUM1                   	19.6	-27	83176
  PHOENIX2                      	19.75	       -  	89125
  GRUS1                         	20.4	-186	120226
  ERIDANUS3                     	19.8	       -  	91201
  TUCANA2                       	18.8	-205	57544
  HOROLOGIUM2                   	19.46	       -  	77983
  HYDRA1                        	15.52	-55	12706
  SCLMMDW2                      	27.47	       -  	3118890
  CENA-MM-DW3                   	28.32	       -  	4613176
  CENA-MM-DW4                   	27.96	       -  	3908409
  CENA-MM-DW5                   	27.67	       -  	3419794
  CENA-MM-DW6                   	27.78	       -  	3597493
  CENA-MM-DW7                   	27.65	       -  	3388442
  CENA-MM-DW8                   	27.7	       -  	3467369
  CENA-MM-DW9                   	27.9	       -  	3801894
  IC0745                        	31.29	1025	18113401
  UGC07184                      	32.61	2018	33265955
  UGC07394                      	32.45	1510	30902954
  NGC5496                       	31.77	1500	22594358
  UGC09215                      	31.93	1380	24322040
  NGC5584                       	32.25	1626	28183829
  UGC09299                      	32.33	1532	29241524
  NGC5719                       	32.11	1716	26424088
  VIRGOUDF1                     	31.22	       -  	17538805
  AQUARIUS2                     	20.16	41	107647
  KIM2                          	20.08	       -  	103753
  MADCASHJ074238+652501DW       	27.65	       -  	3388442
  MAGLITESJ0644-5953            	18.3	       -  	45709
  UGC09977                      	32.34	1949	29376497
  UGC05238                      	32.56	1626	32508730
  UGC00272                      	33.72	3988	55462571
  NGC0941                       	31.71	1615	21978599
  NGC4421                       	30.7	1506	13803843
  UGC05376                      	33.06	1915	40926066
  NGC3365                       	31.29	862	18113401
  PGC035705                     	32.41	1484	30338912
  NGC4666                       	30.82	1433	14588143
  PGC040747                     	31.07	       -  	16368165
  UGC05797                      	30.09	573	10423174
  NGC0955                       	31.8	1499	22908677
  NGC5300                       	31.33	1138	18450154
  NGC5658                       	31.82	1605	23120648
  NGC1299                       	31.99	2281	25003454
  IC3521                        	31.18	526	17218686
  NGC4483                       	31.1	819	16595869
  CRATER2                       	20.35	-74	117490
  VIRGO_CLUSTER                 	31.01	       -  	15922087
  [C2006]J122648.1+132117.5     	31	       -  	15848932
  [C2006]J122642.1+132233.0     	30.9	       -  	15135612
  [C2006]J122620.1+123425.3     	30.9	       -  	15135612
  NGC6809                       	13.58	213	5200
  NGC1866                       	18.5	       -  	50119
  PGC2802610                    	24.53	-155	805378
  NGC6715                       	17.11	171	26424
  NGC6819                       	11.86	       -  	2355
  NGC6791                       	13.08	       -  	4130
  IC3059                        	31.88	202	23768403
  NGC4207                       	31.28	538	18030177
  IC3061                        	33.07	2261	41114972
  IC3066                        	32.19	313	27415742
  ESO300-014                    	30.04	835	10185914
  NGC4276                       	32.2	2544	27542287
  NGC4259                       	33.78	2393	57016427
  UGC07423                      	32.73	1190	35156044
  UGC07424                      	32	781	25118864
  UGC07421                      	31.97	92	24774221
  NGC4316                       	32.11	1184	26424088
  IC3239                        	31.49	685	19860949
  NGC4353                       	32.28	1045	28575905
  IC3229                        	31.93	1468	24322040
  IC3268                        	32.68	652	34355795
  PGC040045                     	29.84	1252	9289664
  PGC040059                     	31.78	681	22698649
  IC3292                        	30.97	655	15631476
  PGC040409                     	32.98	806	39445730
  PGC040408                     	32.17	1674	27164393
  IC3267                        	32.86	1162	37325016
  PGC040411                     	31.05	843	16218101
  IC3259                        	31.17	1340	17139573
  IC3311                        	31.47	-195	19678863
  UGC07522                      	32.75	1337	35481339
  PGC040670                     	31.31	1019	18281002
  IC3298                        	32.64	2393	33728731
  NGC4417                       	31	752	15848932
  NGC4416                       	33	1321	39810717
  PGC040766                     	31.64	931	21281390
  NGC4376                       	31.73	1061	22181964
  IC3371                        	32.49	856	31477483
  PGC040831                     	34.31	1774	72777980
  UGC07567                      	32.31	795	28973436
  UGC07579                      	33.06	2173	40926066
  NGC4466                       	32.46	682	31045596
  UGC07612                      	32.65	1488	33884416
  IC3414                        	31.32	458	18365383
  PGC041180                     	31.02	1324	15995580
  IC3446                        	33.3	1198	45708819
  NGC4496A                      	30.82	1651	14588143
  NGC4489                       	30.91	901	15205475
  NGC4488                       	29.53	914	8053784
  IC0800                        	30.73	2292	13995873
  IC3483                        	33.83	78	58344510
  NGC4531                       	30.89	58	15066071
  IC3501                        	31.04	1567	16143586
  NGC4591                       	33.19	2360	43451022
  PGC041959                     	30.93	232	15346170
  PGC041918                     	32.24	1016	28054336
  UGC07795                      	30.55	-8	12882496
  UGC07802                      	31.56	1711	20511622
  IC3633                        	31.03	1917	16069413
  IC3635                        	31.11	1514	16672472
  NGC4634                       	31.55	80	20417379
  NGC4598                       	32.17	1899	27164393
  NGC4620                       	31.62	1080	21086281
  PGC042442                     	31.03	1669	16069413
  NGC2573                       	32.02	2257	25351286
  IC2051                        	31.06	1546	16292960
  NGC1473                       	31.34	1219	18535316
  ESO015-001                    	31.33	1472	18450154
  ESO085-014                    	31.31	1216	18281002
  NGC2082                       	30.73	995	13995873
  ESO005-004                    	32.04	1687	25585859
  ESO060-019                    	31.63	1226	21183611
  ESO090-015                    	32.3	1454	28840315
  ESO091-003                    	31.51	1682	20044720
  ESO019-003                    	32.12	1812	26546056
  ESO037-005                    	31.48	948	19769696
  IC3104                        	26.86	242	2355049
  ESO040-007                    	32.02	2492	25351286
  ESO009-001                    	32.54	2396	32210688
  IC4595                        	32.87	3275	37497300
  ESO138-013                    	31.79	2611	22803421
  IC4633                        	32.28	2794	28575905
  NGC6943                       	32.24	3011	28054336
  ESO026-001                    	30.55	2628	12882496
  ESO107-015                    	32.81	3268	36475395
  IC5052                        	28.71	483	5520774
  IC5084                        	33.69	3051	54701596
  ESO107-016                    	32.49	1705	31477483
  IC5120                        	32.86	3227	37325016
  ESO011-005                    	33.25	2826	44668359
  ESO048-017                    	31.87	2784	23659197
  NGC7329                       	33.26	3148	44874539
  IC5333                        	32.27	1903	28444611
  ESO012-010                    	33.57	1786	51760683
  HIPASSJ1247-77                	27.65	227	3388442
  UGC03787                      	35.91	8469	152054753
  NGC4440                       	31.19	670	17298164
  NGC4492                       	32.57	1677	32658783
  PGC041723                     	31.29	780	18113401
  PGC042717                     	32.73	2345	35156044
  NGC4289                       	33.27	2525	45081670
  NGC4503                       	30.35	1297	11748976
  NGC4623                       	31.17	1726	17139573
  NGC4746                       	32.43	1738	30619634
  NGC4629                       	32.59	1020	32960971
  UGC08085                      	32.37	2006	29785164
  NGC4632                       	30.55	1634	12882496
  UGC07697                      	33.27	2508	45081670
  UGC07982                      	31.42	1084	19230917
  UGC07991                      	31.55	1193	20417379
  UGC08166                      	33.72	2897	55462571
  UGC07943                      	31.78	772	22698649
  PGC043341                     	31.49	1414	19860949
  UGC08084                      	31.82	2709	23120648
  NGC7503                       	36.43	13365	193196832
  PGC2017209                    	24	-200	630957
  NGC7222                       	36.59	12492	207969669
  PGC044596                     	35.24	6045	111686325
  NGC4824                       	35.29	7103	114287833
  PGC376039                     	36.57	13302	206062991
  PGC027776                     	33.45	3060	48977882
  NGC0023                       	33.55	4729	51286138
  [MJB2015]DW1335-29            	28.5	       -  	5011872
  GAIA1                         	13.3	       -  	4571
  GAIA2                         	13.7	       -  	5495
  UGC00017                      	31.34	1024	18535316
  ESO293-034                    	31.6	1477	20892961
  UGC00054                      	34.32	4441	73113908
  NGC0007                       	31.57	1502	20606299
  ESO293-045                    	32.17	1428	27164393
  NGC0063                       	31.34	1292	18535316
  PGC001288                     	33.44	3789	48752849
  UGC00196                      	33.74	5334	55975760
  ESO150-005                    	30.68	1354	13677288
  NGC0105                       	33.88	5307	59703529
  UGC00256                      	33.4	5372	47863009
  UGC00260                      	32.23	2263	27925438
  ESO294-010                    	26.45	69	1949845
  UGC00288                      	29.17	374	6823387
  IC1553                        	32.54	2933	32210688
  IC1555                        	31.25	1539	17782794
  IC1558                        	29.93	1560	9682779
  NGC0191                       	34.94	6135	97274722
  UGC00392                      	32.15	1587	26915348
